GEOID,NAME,ACS_TOTAL_POP,ACS_UNDER5,ACS_OVER65,ACS_SENSITIVE_PCT,ACS_POVERTY_PCT,ACS_NO_VEHICLE_PCT
53063000201,"Census Tract 2.01, Spokane, WA",3495.0,200.0,461.0,18.91,14.64,8.32
53063000202,"Census Tract 2.02, Spokane, WA",1690.0,177.0,175.0,20.83,29.35,9.07
53063000301,"Census Tract 3.01, Spokane, WA",2902.0,72.0,308.0,13.09,10.03,7.98
53063000302,"Census Tract 3.02, Spokane, WA",2961.0,360.0,310.0,22.63,23.3,1.21
53063000400,"Census Tract 4, Spokane, WA",4821.0,436.0,488.0,19.17,5.83,6.02
53063000500,"Census Tract 5, Spokane, WA",3377.0,307.0,457.0,22.62,9.3,1.37
53063000600,"Census Tract 6, Spokane, WA",3577.0,273.0,329.0,16.83,4.15,1.93
53063000700,"Census Tract 7, Spokane, WA",5170.0,196.0,711.0,17.54,8.9,6.92
53063000800,"Census Tract 8, Spokane, WA",5291.0,275.0,1361.0,30.92,2.62,2.4
53063000900,"Census Tract 9, Spokane, WA",6355.0,195.0,966.0,18.27,12.93,3.01
53063001000,"Census Tract 10, Spokane, WA",5735.0,165.0,948.0,19.41,6.52,4.96
53063001100,"Census Tract 11, Spokane, WA",3403.0,279.0,454.0,21.54,6.35,0.51
53063001200,"Census Tract 12, Spokane, WA",2392.0,73.0,334.0,17.02,6.68,7.82
53063001300,"Census Tract 13, Spokane, WA",3445.0,101.0,419.0,15.09,12.69,7.13
53063001400,"Census Tract 14, Spokane, WA",7069.0,570.0,766.0,18.9,15.59,1.63
53063001500,"Census Tract 15, Spokane, WA",6021.0,215.0,1116.0,22.11,11.03,4.16
53063001600,"Census Tract 16, Spokane, WA",3374.0,290.0,469.0,22.5,25.48,15.85
53063001800,"Census Tract 18, Spokane, WA",2709.0,108.0,649.0,27.94,27.3,22.75
53063001900,"Census Tract 19, Spokane, WA",3858.0,284.0,610.0,23.17,5.94,7.29
53063002000,"Census Tract 20, Spokane, WA",4120.0,276.0,506.0,18.98,24.37,11.23
53063002100,"Census Tract 21, Spokane, WA",2626.0,274.0,322.0,22.7,5.52,3.15
53063002300,"Census Tract 23, Spokane, WA",4991.0,108.0,978.0,21.76,17.13,8.12
53063002400,"Census Tract 24, Spokane, WA",3553.0,87.0,609.0,19.59,41.55,25.48
53063002501,"Census Tract 25.01, Spokane, WA",2936.0,107.0,250.0,12.16,48.38,14.66
53063002502,"Census Tract 25.02, Spokane, WA",2591.0,21.0,296.0,12.23,32.96,10.69
53063002503,"Census Tract 25.03, Spokane, WA",2555.0,0.0,23.0,0.9,54.33,12.0
53063002600,"Census Tract 26, Spokane, WA",5016.0,253.0,562.0,16.25,12.84,13.13
53063002900,"Census Tract 29, Spokane, WA",3315.0,163.0,604.0,23.14,3.33,0.0
53063003000,"Census Tract 30, Spokane, WA",2562.0,147.0,319.0,18.19,28.16,11.26
53063003100,"Census Tract 31, Spokane, WA",5343.0,248.0,409.0,12.3,19.4,3.58
53063003200,"Census Tract 32, Spokane, WA",2766.0,9.0,733.0,26.83,23.41,22.39
53063003500,"Census Tract 35, Spokane, WA",2951.0,61.0,619.0,23.04,49.32,53.26
53063003601,"Census Tract 36.01, Spokane, WA",2883.0,65.0,255.0,11.1,22.52,16.2
53063003602,"Census Tract 36.02, Spokane, WA",2613.0,136.0,398.0,20.44,27.48,25.33
53063003800,"Census Tract 38, Spokane, WA",1844.0,44.0,372.0,22.56,11.67,6.08
53063003900,"Census Tract 39, Spokane, WA",2308.0,123.0,727.0,36.83,6.46,4.45
53063004001,"Census Tract 40.01, Spokane, WA",3026.0,130.0,269.0,13.19,8.29,7.33
53063004002,"Census Tract 40.02, Spokane, WA",2745.0,136.0,193.0,11.99,24.92,6.19
53063004100,"Census Tract 41, Spokane, WA",2213.0,117.0,549.0,30.09,7.22,9.37
53063004200,"Census Tract 42, Spokane, WA",5069.0,359.0,1076.0,28.31,4.57,1.58
53063004300,"Census Tract 43, Spokane, WA",3492.0,242.0,825.0,30.56,5.13,7.4
53063004400,"Census Tract 44, Spokane, WA",4743.0,234.0,966.0,25.3,11.38,10.49
53063004500,"Census Tract 45, Spokane, WA",3552.0,53.0,953.0,28.32,4.21,0.93
53063004601,"Census Tract 46.01, Spokane, WA",4703.0,124.0,1399.0,32.38,10.69,21.5
53063004602,"Census Tract 46.02, Spokane, WA",3007.0,155.0,361.0,17.16,6.09,1.86
53063004701,"Census Tract 47.01, Spokane, WA",3384.0,233.0,417.0,19.21,10.74,2.34
53063004702,"Census Tract 47.02, Spokane, WA",3319.0,46.0,795.0,25.34,9.23,16.5
53063004800,"Census Tract 48, Spokane, WA",4770.0,296.0,1180.0,30.94,11.82,14.1
53063004900,"Census Tract 49, Spokane, WA",6206.0,277.0,1548.0,29.41,8.33,1.24
53063005000,"Census Tract 50, Spokane, WA",5690.0,656.0,824.0,26.01,13.18,9.49
53063010101,"Census Tract 101.01, Spokane, WA",4398.0,122.0,1147.0,28.85,1.27,1.01
53063010102,"Census Tract 101.02, Spokane, WA",2577.0,10.0,688.0,27.09,1.05,0.0
53063010201,"Census Tract 102.01, Spokane, WA",4497.0,189.0,1013.0,26.73,15.15,1.36
53063010203,"Census Tract 102.03, Spokane, WA",4445.0,313.0,720.0,23.24,3.89,1.85
53063010204,"Census Tract 102.04, Spokane, WA",2937.0,65.0,574.0,21.76,4.92,0.89
53063010301,"Census Tract 103.01, Spokane, WA",5726.0,310.0,937.0,21.78,17.03,7.22
53063010303,"Census Tract 103.03, Spokane, WA",3590.0,274.0,858.0,31.53,9.82,2.9
53063010304,"Census Tract 103.04, Spokane, WA",5981.0,277.0,1233.0,25.25,6.3,1.79
53063010305,"Census Tract 103.05, Spokane, WA",8117.0,243.0,1507.0,21.56,5.74,2.0
53063010401,"Census Tract 104.01, Spokane, WA",9594.0,746.0,859.0,16.73,22.18,10.77
53063010403,"Census Tract 104.03, Spokane, WA",3931.0,183.0,671.0,21.72,5.14,5.82
53063010404,"Census Tract 104.04, Spokane, WA",3577.0,166.0,783.0,26.53,4.05,0.16
53063010504,"Census Tract 105.04, Spokane, WA",3640.0,195.0,739.0,25.66,4.78,2.86
53063010505,"Census Tract 105.05, Spokane, WA",3459.0,89.0,635.0,20.93,3.64,0.0
53063010506,"Census Tract 105.06, Spokane, WA",6239.0,234.0,1759.0,31.94,10.41,7.0
53063010507,"Census Tract 105.07, Spokane, WA",4764.0,237.0,951.0,24.94,4.6,0.9
53063010508,"Census Tract 105.08, Spokane, WA",4623.0,280.0,578.0,18.56,3.78,0.0
