name,category,access_use,resource_type,community,address,lat,lon,source_url
Earl Mix Park,Drinking Fountains,0,Park,Rockford,"301 W. 4th St, Deer Park, Wa 99006",47.957460270426374,-117.4822929093957,https://services7.arcgis.com/YGmp70c76pih9ea2/arcgis/rest/services/Town_of_Rockford_Cooling_Resources_Map/FeatureServer/2
Saint Joseph's Catholic Church,Cooling Centers and Spaces,1,Church,Rockford,"138 South River Street Rockford, WA 99030",47.450458034410154,-117.13496695139207,https://services7.arcgis.com/YGmp70c76pih9ea2/arcgis/rest/services/Town_of_Rockford_Cooling_Resources_Map/FeatureServer/0
Rockford United Methodist Church,Cooling Centers and Spaces,1,Church,Rockford,"217 S First Street Rockford, Washington 99030",47.45002983741817,-117.13120900892238,https://services7.arcgis.com/YGmp70c76pih9ea2/arcgis/rest/services/Town_of_Rockford_Cooling_Resources_Map/FeatureServer/0
Thiel Park,Parks,0,Parks,Fairfield,"110 1st St, Fairfield, WA 99012",47.38602822403101,-117.1738738260641,https://services7.arcgis.com/YGmp70c76pih9ea2/arcgis/rest/services/Town_of_Fairfield_Cooling_Resources_Map/FeatureServer/4
Hart Park,Parks,0,Parks,Fairfield,"317 E Main St, Fairfield, WA 99012",47.38594088738929,-117.16870880553958,https://services7.arcgis.com/YGmp70c76pih9ea2/arcgis/rest/services/Town_of_Fairfield_Cooling_Resources_Map/FeatureServer/4
Fairfield Library,Cooling Centers and Spaces,1,Library,Fairfield,"305 E. Main Street Fairfield, WA 99012",47.385637766980615,-117.17027789781345,https://services7.arcgis.com/YGmp70c76pih9ea2/arcgis/rest/services/Town_of_Fairfield_Cooling_Resources_Map/FeatureServer/0
Millwood Park,Parks,0,Parks,Millwood,"9241 E Frederick Ave, Spokane, WA 99206",47.6854198140328,-117.28045599225649,https://services7.arcgis.com/YGmp70c76pih9ea2/arcgis/rest/services/City_of_Millwood_Cooling_Resources_Map/FeatureServer/4
Millwood City Park Wading Pool,Public Pools,0,Public Pools,Millwood,"9241 E Frederick Ave, Spokane, WA 99206",47.68556246137318,-117.28052707091818,https://services7.arcgis.com/YGmp70c76pih9ea2/arcgis/rest/services/City_of_Millwood_Cooling_Resources_Map/FeatureServer/3
Millwood Park,Splash Pads,0,Splash Pads,Millwood,"9241 E Frederick Ave, Spokane, WA 99206",47.685537182126104,-117.28021325238166,https://services7.arcgis.com/YGmp70c76pih9ea2/arcgis/rest/services/City_of_Millwood_Cooling_Resources_Map/FeatureServer/1
Argonne Library,Cooling Centers and Spaces,1,Library,Millwood,"4322 N Argonne Rd, Spokane Valley, WA 99212",47.69639738120584,-117.2822035463907,https://services7.arcgis.com/YGmp70c76pih9ea2/arcgis/rest/services/City_of_Millwood_Cooling_Resources_Map/FeatureServer/0
Waterfront Park,Parks,0,Parks,Medical Lake,"1300 S Lefevre St, Medical Lake, WA 99022",47.56437789223411,-117.69464794295689,https://services7.arcgis.com/YGmp70c76pih9ea2/arcgis/rest/services/City_of_Medical_Lake_Cooling_Resources_Map/FeatureServer/4
Coney Island Park,Parks,0,Parks,Medical Lake,"N Jefferson St, Medical Lake, WA 99022",47.57296957352669,-117.68441252294352,https://services7.arcgis.com/YGmp70c76pih9ea2/arcgis/rest/services/City_of_Medical_Lake_Cooling_Resources_Map/FeatureServer/4
Peper Park,Parks,0,Parks,Medical Lake,"Peper Park, W 4th St, Medical Lake, WA, 99022, USA",47.577425976188934,-117.6882600527082,https://services7.arcgis.com/YGmp70c76pih9ea2/arcgis/rest/services/City_of_Medical_Lake_Cooling_Resources_Map/FeatureServer/4
Shepard Field,Parks,0,Parks,Medical Lake,"320 E Norma Lee Ave, Medical Lake, WA 99022",47.584100990516816,-117.67935515022126,https://services7.arcgis.com/YGmp70c76pih9ea2/arcgis/rest/services/City_of_Medical_Lake_Cooling_Resources_Map/FeatureServer/4
Pioneer Park,Parks,0,Parks,Medical Lake,E. 515 Barker St.,47.576154298455066,-117.6769169688494,https://services7.arcgis.com/YGmp70c76pih9ea2/arcgis/rest/services/City_of_Medical_Lake_Cooling_Resources_Map/FeatureServer/4
Medical Lake Library,Cooling Centers and Spaces,1,Library,Medical Lake,"321 E Herb St, Medical Lake, WA 99022",47.57151339827689,-117.67776936184598,https://services7.arcgis.com/YGmp70c76pih9ea2/arcgis/rest/services/City_of_Medical_Lake_Cooling_Resources_Map/FeatureServer/0
Orchard Park,Parks,0,Parks,Liberty Lake,"20298 E Indiana Ave, Liberty Lake, Wa 99019",47.675053117910345,-117.13191974688894,https://services7.arcgis.com/YGmp70c76pih9ea2/arcgis/rest/services/City_of_Liberty_Lake/FeatureServer/4
Pavillion Park,Parks,0,Parks,Liberty Lake,"727 N Molter Rd, Liberty Lake, WA 99019",47.663715173896435,-117.09202492102521,https://services7.arcgis.com/YGmp70c76pih9ea2/arcgis/rest/services/City_of_Liberty_Lake/FeatureServer/4
Rocky Hill Park,Parks,0,Parks,Liberty Lake,"24901 E Mission Ave, Liberty Lake, WA",47.67192456337342,-117.07030945901994,https://services7.arcgis.com/YGmp70c76pih9ea2/arcgis/rest/services/City_of_Liberty_Lake/FeatureServer/4
Town Square Park,Parks,0,Parks,Liberty Lake,"1421 N Meadowwood Ln, Liberty Lake, WA 99019",47.67153097201141,-117.1022021290776,https://services7.arcgis.com/YGmp70c76pih9ea2/arcgis/rest/services/City_of_Liberty_Lake/FeatureServer/4
Liberty Lake Athletic Club,Public Pools,0,Public Pools,Liberty Lake,"23410 E Mission Ave, Liberty Lake, WA 99019",47.6708174443265,-117.09068736857314,https://services7.arcgis.com/YGmp70c76pih9ea2/arcgis/rest/services/City_of_Liberty_Lake/FeatureServer/3
Pavillion Park,Drinking Fountains,0,Park,Liberty Lake,"727 N Molter Rd, Liberty Lake, WA 99019",47.66320937490528,-117.09168159827139,https://services7.arcgis.com/YGmp70c76pih9ea2/arcgis/rest/services/City_of_Liberty_Lake/FeatureServer/2
Orchard Park,Splash Pads,0,Splash Pads,Liberty Lake,"20298 E Indiana Ave, Liberty Lake, Wa 99019",47.675092687151874,-117.13097104058079,https://services7.arcgis.com/YGmp70c76pih9ea2/arcgis/rest/services/City_of_Liberty_Lake/FeatureServer/1
Pavillion Park,Splash Pads,0,Splash Pads,Liberty Lake,"727 N Molter Rd, Liberty Lake, WA 99019",47.66305998219906,-117.09038059354671,https://services7.arcgis.com/YGmp70c76pih9ea2/arcgis/rest/services/City_of_Liberty_Lake/FeatureServer/1
Liberty Lake Athletic Club,Cooling Centers and Spaces,1,Recreation Center,Liberty Lake,"23410 E Mission Ave, Liberty Lake, WA 99019",47.67074519745924,-117.09107092446226,https://services7.arcgis.com/YGmp70c76pih9ea2/arcgis/rest/services/City_of_Liberty_Lake/FeatureServer/0
