NRI_ID,GEOID,NRI_HEATWAVE_RISK_SCORE,NRI_HEATWAVE_RISK_RATING,NRI_HEATWAVE_ANNUALIZED_FREQ,NRI_SOVI_SCORE,NRI_SOVI_RATING,NRI_COMPOSITE_RISK_SCORE,NRI_COMPOSITE_RISK_RATING
T53063001400,53063001400,63.54568854568855,Relatively Moderate,4.0,9.209856068,Very Low,12.564660554386215,Very Low
T53063001500,53063001500,76.40020973354306,Relatively Moderate,4.0,74.31321448,Relatively High,26.575339207781862,Relatively Low
T53063001600,53063001600,54.02307068973735,Relatively Low,4.0,33.88556536,Relatively Low,7.451274184533791,Very Low
T53063001800,53063001800,60.69760236426903,Relatively Moderate,4.000000000000001,87.16697269,Very High,16.12381529972768,Very Low
T53063001900,53063001900,57.743457743457746,Relatively Moderate,4.0,48.2017414,Relatively Moderate,15.124921218175116,Very Low
T53063002000,53063002000,71.45955479288813,Relatively Moderate,4.0,82.22176154,Very High,26.207888884925023,Relatively Low
T53063002100,53063002100,31.332522999189667,Relatively Low,4.0,9.209856068,Very Low,1.566123220719917,Very Low
T53063002300,53063002300,67.17908384575051,Relatively Moderate,4.000000000000001,35.14541255,Relatively Low,17.95749943514918,Very Low
T53063002400,53063002400,62.09185375852042,Relatively Moderate,4.0,88.72830658,Very High,27.680068495594163,Relatively Low
T53063002501,53063002501,48.24943991610658,Relatively Low,4.0,29.8140141,Relatively Low,4.959984778756852,Very Low
T53063002502,53063002502,40.62514895848229,Relatively Low,4.0,31.56903394,Relatively Low,3.640017599562389,Very Low
T53063002503,53063002503,50.32532532532532,Relatively Low,3.9999999999999996,44.56139312,Relatively Moderate,6.501135647437955,Very Low
T53063002600,53063002600,58.68010868010868,Relatively Moderate,4.000000000000001,9.209856068,Very Low,6.515405562888707,Very Low
T53063002900,53063002900,56.04175604175604,Relatively Moderate,4.0,56.89984008,Relatively Moderate,12.01883628839499,Very Low
T53063003000,53063003000,39.61699795033128,Relatively Low,4.0,23.60184801,Relatively Low,3.692340622881809,Very Low
T53063003100,53063003100,65.18423185089853,Relatively Moderate,4.0,36.03151099,Relatively Low,15.57442355487377,Very Low
T53063003200,53063003200,57.59569092902426,Relatively Moderate,4.0,92.42907066,Very High,36.96740513479124,Relatively Low
T53063003500,53063003500,69.9711616378283,Relatively Moderate,4.0,93.39631582,Very High,60.85524359934834,Relatively Moderate
T53063003601,53063003601,46.18547118547119,Relatively Low,4.0,39.97156903,Relatively Low,8.08271794322952,Very Low
T53063003602,53063003602,44.610086276752945,Relatively Low,4.0,42.20162293,Relatively Moderate,7.343060659032262,Very Low
T53063003800,53063003800,27.7992277992278,Relatively Low,4.0,18.44044305,Very Low,1.405586671898969,Very Low
T53063003900,53063003900,40.51551551551552,Relatively Low,4.0,51.73251199,Relatively Moderate,62.2061289286861,Relatively Moderate
T53063004001,53063004001,33.67653367653368,Relatively Low,4.0,9.209856068,Very Low,5.358353251756983,Very Low
T53063004002,53063004002,57.180990514323845,Relatively Moderate,4.0,96.57584553,Very High,17.898041454104387,Very Low
T53063004100,53063004100,34.73473473473474,Relatively Low,4.0,26.64869988,Relatively Low,3.997954645452059,Very Low
T53063004200,53063004200,60.872777539444215,Relatively Moderate,4.0,25.60267725,Relatively Low,31.77791254920148,Relatively Low
T53063004300,53063004300,42.811859478526145,Relatively Low,4.0,9.209856068,Very Low,8.12671684920267,Very Low
T53063004400,53063004400,61.52700319366986,Relatively Moderate,4.0,42.52739442,Relatively Moderate,13.152105407108797,Very Low
T53063004500,53063004500,55.54363887697221,Relatively Low,4.0,37.00586389,Relatively Low,15.65052977061111,Very Low
T53063004601,53063004601,61.84637017970351,Relatively Moderate,4.0,53.27311497,Relatively Moderate,14.00948949377475,Very Low
