GEOID,NAME,ACS_TOTAL_POP,ACS_UNDER5,ACS_OVER65,ACS_SENSITIVE_PCT,ACS_POVERTY_PCT,ACS_NO_VEHICLE_PCT,NRI_ID,NRI_HEATWAVE_RISK_SCORE,NRI_HEATWAVE_RISK_RATING,NRI_HEATWAVE_ANNUALIZED_FREQ,NRI_SOVI_SCORE,NRI_SOVI_RATING,NRI_COMPOSITE_RISK_SCORE,NRI_COMPOSITE_RISK_RATING,NEAREST_COOLING_MI,COOLING_WITHIN_3MI,COOLING_WITHIN_5MI,HEAT_CONCERN_SCORE,SOVI_CONCERN_SCORE,TRANSPORT_BARRIER_SCORE,COOLING_ACCESS_SCORE,FINAL_CONCERN_SCORE,CONCERN_CLASS
53063013600,"Census Tract 136, Spokane, WA",5322.0,425.0,639.0,19.99,17.39,8.5,T53063013600,73.678440345107,Relatively Moderate,4.0,79.12041699,Relatively High,39.77857847858918,Relatively Low,2.65,1,10,3,3,3,3,12,High
53063011702,"Census Tract 117.02, Spokane, WA",8389.0,726.0,761.0,17.73,20.66,9.11,T53063011702,79.28285428285429,Relatively Moderate,4.0,54.72427886,Relatively Moderate,43.29968011606198,Relatively Low,2.2,2,2,3,3,3,3,12,High
53063012300,"Census Tract 123, Spokane, WA",6319.0,661.0,874.0,24.29,25.05,15.76,T53063012300,81.91763191763192,Relatively Moderate,4.0,89.01617011,Very High,48.232314223538225,Relatively Low,2.06,7,17,3,3,3,3,12,High
53063010403,"Census Tract 104.03, Spokane, WA",3931.0,183.0,671.0,21.72,5.14,5.82,T53063010403,64.36793936793936,Relatively Moderate,4.0,66.5793994,Relatively High,63.48923215963279,Relatively Moderate,3.08,0,1,3,3,2,3,11,High
53063011800,"Census Tract 118, Spokane, WA",5197.0,195.0,960.0,22.22,15.74,17.09,T53063011800,69.82220315553649,Relatively Moderate,4.0,44.30551442,Relatively Moderate,20.49397690652016,Relatively Low,1.89,1,2,3,2,3,3,11,High
53063011203,"Census Tract 112.03, Spokane, WA",6432.0,450.0,1080.0,23.79,22.52,14.49,T53063011203,74.23971590638257,Relatively Moderate,4.0,67.15631108,Relatively High,28.805013496961696,Relatively Low,1.64,2,12,3,3,3,2,11,High
53063011103,"Census Tract 111.03, Spokane, WA",2822.0,110.0,1146.0,44.51,19.05,23.94,T53063011103,62.085895419228756,Relatively Moderate,4.0,83.21269916,Very High,9.96515762310775,Very Low,1.54,8,23,3,3,3,2,11,High
53063000201,"Census Tract 2.01, Spokane, WA",3495.0,200.0,461.0,18.91,14.64,8.32,T53063000201,62.589970923304264,Relatively Moderate,4.0,92.07190665,Very High,7.064797307742618,Very Low,1.03,5,26,3,3,3,2,11,High
53063005000,"Census Tract 50, Spokane, WA",5690.0,656.0,824.0,26.01,13.18,9.49,T53063005000,70.11416178082844,Relatively Moderate,4.0,58.48782799,Relatively Moderate,26.440964170620624,Relatively Low,0.75,3,9,3,3,3,2,11,High
53063014200,"Census Tract 142, Spokane, WA",4063.0,167.0,789.0,23.53,17.33,3.53,T53063014200,60.99432766099433,Relatively Moderate,4.008103585613777,56.30515904,Relatively Moderate,80.74631657807427,Relatively Moderate,7.96,0,0,2,3,2,3,10,High
53063010303,"Census Tract 103.03, Spokane, WA",3590.0,274.0,858.0,31.53,9.82,2.9,T53063010303,59.61914295247629,Relatively Moderate,3.942392811857923,66.53260676,Relatively High,23.840272079721263,Relatively Low,4.88,0,1,2,3,2,3,10,High
53063010305,"Census Tract 103.05, Spokane, WA",8117.0,243.0,1507.0,21.56,5.74,2.0,T53063010305,74.99165832499166,Relatively Moderate,3.9432383007956364,33.72978736,Relatively Low,55.621752107785426,Relatively Low,4.09,0,1,3,2,2,3,10,High
53063011202,"Census Tract 112.02, Spokane, WA",4120.0,169.0,767.0,22.72,6.58,0.57,T53063011202,62.39572906239573,Relatively Moderate,4.0,49.06237043,Relatively Moderate,19.477245430654154,Very Low,3.36,0,9,3,3,1,3,10,High
53063012901,"Census Tract 129.01, Spokane, WA",2998.0,223.0,804.0,34.26,15.04,4.68,T53063012901,54.764288097621424,Relatively Low,4.0,51.54652609,Relatively Moderate,8.636866326567015,Very Low,2.83,1,2,2,3,2,3,10,High
53063013101,"Census Tract 131.01, Spokane, WA",9238.0,826.0,1576.0,26.0,14.46,1.93,T53063013101,83.4084084084084,Relatively Moderate,4.000000000000001,64.44056151,Relatively High,51.3229400782467,Relatively Low,2.58,2,2,3,3,1,3,10,High
